what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172240659
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1250172263006
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172265812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172413559
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172414046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172477070
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172478392
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172499220
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172500571
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173003323
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173015754
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173028303
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173030355
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173053425
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173054486
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173971793
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1250173974442
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Resume",1250173974444
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173977950
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250174026394
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Resume",1250174028536
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Resume",1250174030231
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250174033624
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250174078680
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Resume",1250174079951
