what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1250167930660
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250167933719
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1250167933845
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1250167934124
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250167954153
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250167983306
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250167990780
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168008190
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250168011507
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168013094
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168017232
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168019216
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168110987
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250168120055
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168125141
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168291560
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250168294442
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168313934
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1250168315810
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168315962
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168317664
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1250168327285
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168327413
error,log,,,"5",1250168355680
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168374815
