what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162315536
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162316612
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162319100
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162319893
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162321221
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162355633
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250162443213
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250162457870
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250162461425
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250162461729
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250162461925
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250162464483
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250162464550
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250162464808
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250162474026
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162477088
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250162479037
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162479154
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1250162485063
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162491401
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.2.5.200906302108-CI-R3335-B388,"org.springframework.ide.eclipse.beans.ui.refactoring",1250162497810
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250162497997
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162498064
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162498711
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250162498801
