what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.ClassFileEditor",1250239403702
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239438930
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.line",1250239441349
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239441538
executed,command,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors.lineNumberToggle",1250239444152
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.ClassFileEditor",1250239459212
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.ClassFileEditor",1250239459620
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.open.editor",1250239459680
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239459689
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239549438
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239616189
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1250239623596
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239623790
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250239624916
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.navigate.collapseAll",1250239627586
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239658998
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239975829
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250239986989
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250240137452
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1250240142240
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250240155635
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250240159401
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250240165704
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250240171259
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1250240177979
