what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.editor",1250159739612
activated,editor,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.editor",1250159739745
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250159749158
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250159758520
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250159797684
activated,editor,com.springsource.sts.config.ui,2.1.0.200907010821-CI-R3299-B298,"com.springsource.sts.config.ui.editors.SpringConfigEditor",1250159812481
activated,editor,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.editor",1250159815416
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1250159825719
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250159838379
started,bundle,org.maven.ide.eclipse.editor.xml,0.9.8.200905041414,"org.maven.ide.eclipse.editor.xml",1250159838774
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1250159838821
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1250159838975
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250159853681
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250159872338
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1250159890160
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250159890859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250160138681
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250160139884
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250160158955
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250160164013
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250161009371
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250161012550
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250161016989
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1250161020116
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1250161022518
