what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250166922956
executed,command,org.maven.ide.eclipse.launching,0.9.8.200905041413,"org.maven.ide.eclipse.pomFileAction.run",1250166930371
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250166930405
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1250166930485
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1250166956810
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250166978003
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1250166988965
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250166989091
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250166992643
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1250167003602
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250167003669
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.300.v200905132034,"org.eclipse.jst.j2ee.J2EEPerspective",1250167009259
activated,editor,org.maven.ide.eclipse.editor,0.9.8.200905041414,"org.maven.ide.eclipse.editor.MavenPomEditor",1250167009414
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250167011797
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.navigate.collapseAll",1250167012035
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1250167039439
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250167046035
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250167052115
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1250167063191
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1250167071818
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250167091321
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250167108700
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250167109973
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250167126141
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1250167132351
